x	y	x	y	x	y	z
0.6223456738	0.0907756849	0.5904146131	0.9971775492	0.8140596968	0.3108903697	0.8373781171
0.3063547340	0.4801854280	0.3604082595	0.9130122522	0.4101336242	0.4653419027	0.5819245973
0.7521673587	0.6364924732	0.3982546065	0.5685738581	0.8222390954	0.8611184178	0.2095254837
0.6969239967	0.5575117653	0.6351473513	0.9187327279	0.0616377279	0.9638691569	0.9559696582
0.9171834318	0.7074189418	0.0657876583	0.5445555138	0.6133764601	0.0119398768	0.7968348414
0.8968431382	0.9361789101	0.3169000978	0.6928032707	0.5835846129	0.5918090098	0.3780451549
0.2546281479	0.0589719107	0.0161814162	0.4764090066	0.7186107733	0.7901357764	0.5051797939
0.8220558783	0.7734413806	0.1235432580	0.7967133871	0.1153424302	0.7883973215	0.9531653994
0.5951052681	0.9099215941	0.1348135708	0.7843235498	0.6981688010	0.0033127121	1.0018969589
0.5126883608	0.1860727771	0.9640957513	0.4121713796	0.6890016012	0.1951397068	0.8094429086
0.8934131060	0.8429537106	0.6544062281	0.0993083944	0.3669906420	0.8539840201	0.7401637020
0.9998700675	0.4875580461	0.9944066159	0.7303054667	0.4018175177	0.4467435371	0.5781274700
0.9031043890	0.4685909168	0.6129539712	0.0140044634	0.9895484419	0.3511061396	0.9773182919
0.3951897945	0.7102385982	0.9303416395	0.1465391035	0.5855330299	0.0378774938	1.0067416503
0.9418303280	0.8572581666	0.6486507497	0.7837024810	0.2567444325	0.1421850677	0.1962530731
0.5021678250	0.8247501477	0.0702886396	0.1181067202	0.7140314821	0.8870289944	0.3691531702
0.7231462952	0.8309194957	0.9301686175	0.2017934196	0.6992725988	0.6315279630	0.7394151928
0.9345167448	0.3498914702	0.5325539108	0.0815154731	0.1243970587	0.5572099103	0.8558909676
0.4986656847	0.3224874077	0.3107319098	0.4848239736	0.5205690072	0.6931575116	0.3018834606
0.1679314306	0.4442904900	0.3805555266	0.9053293301	0.8317510282	0.0281154467	0.9987952855
0.9794616722	0.2978197140	0.2041895024	0.4355659998	0.2163876249	0.2867704472	0.7232735197
0.4627534216	0.6611670874	0.0151889389	0.1346580252	0.8771448290	0.3806459725	0.5478612596
0.0748141469	0.9467363677	0.8484153740	0.5519523577	0.5172859374	0.4815850859	0.9216361700
0.3815745974	0.2498042992	0.8984108789	0.2680951331	0.9171808390	0.9082614660	0.6440038091
0.4657350795	0.8198001309	0.8870980598	0.0753427122	0.3130926988	0.5394525414	0.9140829193
0.1935790513	0.9892633852	0.1964279581	0.4851505852	0.0418803945	0.4367099780	0.9340046652
0.8458318169	0.5178280512	0.0329963898	0.6148160317	0.0026650643	0.4323872068	0.7942050653
0.3929456278	0.0893713067	0.9796847136	0.5402854015	0.1722124859	0.6037183699	0.6866050188
0.6435536257	0.4832238072	0.2640550247	0.9576907254	0.3137520741	0.1914997342	0.7223446343
0.1296071285	0.0406014757	0.1138821220	0.6281850491	0.5562588620	0.2829292312	0.5891846859
0.6549100818	0.9667778689	0.7073265441	0.2239336485	0.6404294869	0.3532183589	0.6429777913
0.2297688537	0.4978752567	0.1890235440	0.5845125397	0.7381913912	0.4817761863	0.5422557942
0.7149272762	0.0665789668	0.2338624267	0.9392807919	0.3760009897	0.2728518012	0.9636443095
0.6949162777	0.9302777252	0.2373594099	0.6780488681	0.6092597172	0.5553074054	0.5025067776
0.1730143103	0.6430080258	0.8298145478	0.0218866237	0.0800447541	0.7867261575	1.1717679929
0.9284085401	0.2329992454	0.6381713129	0.9554489988	0.2735588559	0.3998698950	0.7747345970
0.1734205067	0.0152087520	0.8349269683	0.5104188017	0.5071131032	0.1681866855	0.4951844365
0.1896108083	0.0169588151	0.8330932527	0.8332664479	0.4368293205	0.2182473266	0.2785441235
0.8339259136	0.7001691919	0.4594805640	0.5118639373	0.4874075760	0.9843105232	0.5172498596
0.9932395384	0.6775134787	0.9551156001	0.3944715992	0.2128177439	0.4561475165	0.6879055304
0.5412605411	0.6573559134	0.9402148738	0.4573178768	0.9823341672	0.3718781031	0.7869715697
0.7906142348	0.7016536351	0.5192888011	0.2752983173	0.2444795583	0.5318457512	0.3873301865
0.6414944816	0.9603384303	0.8551846076	0.8371370550	0.2409185734	0.5417215012	0.4387135502
0.4813553537	0.8832196325	0.1388698621	0.2827486201	0.5522678202	0.6803857668	0.4456570473
0.9553623324	0.6619521163	0.8582627054	0.1141122718	0.8864924875	0.4876649960	0.8938192159
0.4216919914	0.3127979347	0.5560985309	0.2217775326	0.2757091592	0.5124651084	0.4238889300
0.3083665727	0.9494406650	0.3721639159	0.2722715063	0.3129988436	0.0961041339	0.6841036474
0.9365050609	0.0885605529	0.7173501351	0.1586622359	0.5469042011	0.4408151348	1.0209784265
0.5130264160	0.3371622398	0.7915580523	0.7004342934	0.5603185779	0.4586961702	0.2226181970
0.6717562586	0.2170533277	0.6879045294	0.8333935436	0.5378795410	0.6887807661	0.5006925088
0.1236768357	0.6870223119	0.3545421314	0.5039948291	0.1093365231	0.7553231134	0.8700533945
0.9388703198	0.0857224976	0.7212976314	0.5672270790	0.9856381600	0.5775942751	0.9581746990
0.2385558135	0.8388227609	0.7802547600	0.3670110618	0.7651314190	0.4211779902	0.8058503108
0.5868652075	0.2237218156	0.6955473528	0.1552788532	0.0380607044	0.4101220238	0.7497951721
0.4722666888	0.8857344850	0.6347191060	0.0696192992	0.0827160234	0.4418403075	0.7869330731
0.3282844848	0.2899843898	0.2695083512	0.1476628753	0.1724416615	0.6312875778	0.4762906593
0.5841622851	0.0710283221	0.9776925640	0.2850165162	0.2408940351	0.7039844184	0.9785495768
0.7457104783	0.3797031621	0.4426981523	0.0691697057	0.9633961624	0.4290678031	0.7476574427
0.4005301003	0.1496349463	0.9852932473	0.8787035629	0.0716796466	0.0732440444	0.2726026164
0.5871638494	0.5593539859	0.3211106281	0.8065300651	0.2022210035	0.7460479869	0.7294883181
0.6734763978	0.3375001710	0.1555997069	0.9748660106	0.5840731731	0.7025830406	0.8933766787
0.1673686392	0.6097535108	0.4227234650	0.3452843321	0.5692943443	0.1410769213	0.6205411793
0.5719297846	0.0390008061	0.7183853312	0.2259893239	0.0595717148	0.0677498774	0.7256266302
0.4438165880	0.7201700980	0.8357317536	0.6786720447	0.8358952518	0.1670845189	0.7405044302
0.5092213154	0.3335216669	0.8679452779	0.7457618302	0.0167293272	0.2679833762	0.3300420557
0.6066463206	0.3128254815	0.8931986974	0.1290661982	0.3394987635	0.3515518976	0.8187639708
0.2796525290	0.3476469820	0.4564221771	0.7445826185	0.8696541918	0.1412930839	0.7862376162
0.5047526354	0.8549642830	0.4025469703	0.4634203375	0.7670289637	0.2139755517	0.6574358078
0.0845145499	0.2607286334	0.1626982683	0.8601896640	0.0730019620	0.9612726407	1.1430531260
0.8749637193	0.8350003026	0.2702386676	0.5813109291	0.8911026968	0.9156809694	0.3145903972
0.9846301252	0.1185609779	0.5155380698	0.8201076265	0.8987438088	0.9264763696	0.9184810709
0.9133921484	0.9656131523	0.0638821569	0.9744464937	0.9620758520	0.9675498670	0.9120769757
0.0271899853	0.9707514311	0.9840302466	0.7332875929	0.9216049717	0.0749783184	1.2922680723
0.0398400432	0.9791485790	0.4189610615	0.5722558702	0.0837834965	0.7694511910	1.1730046935
0.3782076566	0.7983728128	0.9551823570	0.9114897051	0.6332301323	0.2948057889	0.5412752004
0.7894672402	0.0658814343	0.8438189228	0.7351300976	0.4588948682	0.3587901690	0.7385192144
0.5525653833	0.8803673532	0.7508940579	0.2097340833	0.0214709901	0.1659098092	0.6489767499
0.3819368338	0.1950460720	0.6941692997	0.4562631458	0.8097519870	0.2047934164	0.6763892127
0.9954881212	0.0906206291	0.3557143029	0.5352738905	0.3742180851	0.5530143147	0.9396780915
0.0962403801	0.7070708232	0.9564316762	0.5774222130	0.2793426797	0.7980703679	0.8864764057
0.6117988864	0.0324935284	0.2189705610	0.7944645237	0.8002265663	0.9844852479	0.8371017026
0.5359088652	0.4164374040	0.6098271195	0.4944655638	0.6013447515	0.4253880162	0.2419555564
0.7311504932	0.0610244559	0.3962264714	0.5492492276	0.8533059343	0.1835533391	0.9597152747
0.8676245857	0.2645601304	0.2411212817	0.5274852558	0.0753181242	0.6367807912	0.8723138135
0.2835016887	0.5802873141	0.7914035327	0.1588100002	0.6028505311	0.4019403706	0.7270633930
0.9313914896	0.1164854849	0.0196089276	0.4278815719	0.7863240017	0.5796207269	0.9346039762
0.1229958439	0.5526081438	0.1907226599	0.7733672905	0.6438737224	0.2457006870	0.8261859717
0.4955010619	0.1398258428	0.6160763375	0.2508498289	0.5428964066	0.3911098114	0.5319158153
0.5519611863	0.1556801208	0.2965753801	0.5627566800	0.5720328230	0.8956192650	0.5767142730
0.2436405748	0.7654795821	0.1616606637	0.5648175424	0.8771792612	0.8152050575	0.6623384484
