x	y	x	y	x	y	z
0.1752366918	0.3634715745	0.7507011189	0.7794815271	0.4790384017	0.6054301097	0.2285509720
0.3275280607	0.8139647013	0.6645438483	0.7034042733	0.2806389283	0.2883671421	0.4880476034
0.1258646912	0.8392847472	0.7460502592	0.3844967846	0.4480732348	0.2497602383	0.8240249607
0.2029059611	0.1162994840	0.3595645765	0.4038335123	0.0697295843	0.5386308875	0.4788829217
0.6043963507	0.1378245810	0.1887352132	0.0918585616	0.2753395268	0.0598707178	0.5229733354
0.6747460554	0.1876670499	0.6745168453	0.4334537608	0.6818823840	0.5793551898	0.5530544221
0.6929243782	0.0672407921	0.1060935205	0.6863842389	0.8571183411	0.3363153602	0.9997264689
0.4606876150	0.1080390774	0.1150760507	0.9146292828	0.1642916426	0.9613684018	1.1827838865
0.8687893792	0.0321801318	0.9329601626	0.3776749136	0.7796313587	0.2760271378	1.1233316304
0.3309101717	0.8919419092	0.5627004611	0.2982682962	0.4594132709	0.6280206515	0.6427358937
0.8277794552	0.0679761929	0.2588749962	0.2080067974	0.0356286278	0.7399451049	1.0372802278
0.2792403306	0.8835680800	0.6866400217	0.5486582625	0.7938962328	0.7467449362	0.6216705231
0.9126199847	0.8428200545	0.9089038361	0.0093538194	0.1265421684	0.1228389285	0.9022615899
0.4294538859	0.2145043510	0.4726682729	0.0052251505	0.4166275217	0.9814438562	0.7640182373
0.6390626169	0.3641036794	0.8507243929	0.1420801509	0.2857750274	0.3516285537	0.7629651145
0.0515847952	0.1441769449	0.4067133919	0.8429470372	0.0435521279	0.2984466076	0.5136577608
0.4727090545	0.0360912095	0.9131777873	0.6449368057	0.6520505004	0.1262102138	0.7342318256
0.9019207427	0.1346138596	0.5485610406	0.7332973942	0.0703779098	0.6477825460	0.9778974830
0.0717206147	0.8537959743	0.5115321827	0.4308538970	0.4585550809	0.2910694570	0.8038670836
0.5470803092	0.4826797449	0.4553044260	0.3993823274	0.2348795587	0.6993498944	0.4722366002
0.9484902041	0.7074106551	0.9684451132	0.3221264002	0.7684859221	0.3574933804	0.8029707947
0.4663685536	0.0707553243	0.1303347455	0.2380562799	0.1477861701	0.0991277020	0.4128939364
0.7374026116	0.0663377509	0.8424692824	0.3785972412	0.4578132440	0.3980271950	0.8179729149
0.7319674409	0.9568496493	0.5332904707	0.3233524414	0.3790513794	0.7767272700	0.5027843452
0.4106631033	0.6479455707	0.5413839629	0.5693457498	0.3873710507	0.4157140136	0.2405995728
0.8615855279	0.4301395497	0.1624928024	0.5454154679	0.2112394400	0.7787841713	0.8092480595
0.2822880328	0.9787834985	0.8694065243	0.4276138710	0.6249834121	0.1991005369	0.9282579952
0.5718820035	0.6494759043	0.5642867345	0.0555847547	0.3682166235	0.7959416334	0.6691391498
0.9560307364	0.7742677342	0.8330952963	0.0454657622	0.2179984942	0.6530100578	0.9179505065
0.4920333892	0.1052073406	0.9693619023	0.7370255768	0.2487809218	0.9653132315	0.8467780765
0.5991276245	0.0272964041	0.7228185585	0.0419927809	0.7981468646	0.7446575713	0.8907164468
0.4652708032	0.3601110426	0.1983408909	0.5889805566	0.2540490514	0.3915235768	0.4272670930
0.2588818974	0.4796751235	0.1529935329	0.2457490985	0.9488492581	0.1418376296	0.8417963008
0.7429829386	0.4177751718	0.5923771287	0.5857555214	0.4404358464	0.6337580710	0.3783879223
