Gen;	BestValidFit;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
2500;	0.205712;	12 0.204526 0.206976;	19 0.205591 0.205712;	16 0.205792 0.257509;	16 0.206304 0;	
5000;	0.205712;	17 0.203377 0.205891;	12 0.204526 0.206976;	15 0.205576 0;	19 0.205591 0.205712;	
7500;	0.205712;	18 0.203319 0.206268;	17 0.203377 0.205891;	21 0.203709 0;	12 0.204526 0.206976;	
10000;	0.203247;	29 0.202217 0.203247;	18 0.203319 0.206268;	17 0.203377 0.205891;	20 0.203585 0.206976;	
12500;	0.203247;	28 0.201754 0.205539;	29 0.202217 0.203247;	31 0.202321 0.206976;	31 0.202327 0.206976;	
15000;	0.202708;	31 0.196805 0.202708;	31 0.199115 0.210963;	28 0.201754 0.205539;	33 0.201885 0.206268;	
17500;	0.202708;	31 0.196805 0.202708;	34 0.198293 0.203247;	31 0.199115 0.210963;	28 0.199115 0.206976;	
20000;	0.202708;	31 0.196805 0.202708;	37 0.196835 0.206976;	34 0.198293 0.203247;	37 0.199022 0.205539;	
22500;	0.189488;	34 0.194876 0.189488;	31 0.196805 0.202708;	37 0.196835 0.206976;	38 0.19773 0.205891;	
25000;	0.189488;	34 0.194876 0.189488;	47 0.195994 0.205539;	31 0.196805 0.202708;	37 0.196835 0.206976;	
27500;	0.189488;	38 0.19099 0.198675;	34 0.194876 0.189488;	47 0.195994 0.205539;	45 0.196591 0.205891;	
30000;	0.189488;	38 0.19099 0.198675;	34 0.194876 0.189488;	40 0.195651 0.202708;	42 0.195966 0.203247;	
32500;	0.174763;	38 0.174937 0.174763;	54 0.182824 0.203247;	35 0.19099 0.202708;	34 0.194876 0.189488;	
35000;	0.174763;	38 0.174937 0.174763;	44 0.175057 0.202708;	54 0.182824 0.203247;	42 0.186075 0.189488;	
37500;	0.174763;	38 0.174937 0.174763;	44 0.175057 0.202708;	40 0.178183 0.205891;	52 0.182334 0.189488;	
40000;	0.174763;	38 0.174937 0.174763;	44 0.175057 0.202708;	36 0.178118 0.189488;	40 0.178183 0.205891;	
42500;	0.174763;	39 0.173927 0.207235;	37 0.174937 0.205891;	44 0.175057 0.202708;	45 0.176141 0.205891;	
45000;	0.174763;	42 0.169222 0.178455;	39 0.173514 0.207256;	35 0.173927 0.202708;	37 0.174937 0.205891;	
47500;	0.174763;	42 0.169222 0.178455;	39 0.173514 0.207256;	35 0.173927 0.202708;	37 0.174937 0.205891;	
50000;	0.174763;	45 0.164007 0.239842;	42 0.169222 0.178455;	39 0.173514 0.207256;	35 0.173927 0.202708;	
52500;	0.174763;	45 0.164007 0.239842;	42 0.169222 0.178455;	39 0.173514 0.207256;	35 0.173927 0.202708;	
55000;	0.174763;	40 0.162084 0.181582;	45 0.164007 0.239842;	42 0.169222 0.178455;	45 0.170648 0.207256;	
57500;	0.174763;	40 0.162084 0.181582;	45 0.164007 0.239842;	50 0.167404 0.205891;	42 0.169222 0.178455;	
60000;	0.174763;	46 0.159655 0.187299;	40 0.162084 0.181582;	45 0.164007 0.239842;	50 0.167404 0.205891;	
62500;	0.174763;	42 0.158402 0.195843;	46 0.159655 0.187299;	53 0.161888 0.202708;	40 0.162084 0.181582;	
65000;	0.174763;	41 0.142797 0.179562;	43 0.145587 0.175881;	42 0.147336 0.239842;	48 0.15365 0.180426;	
67500;	0.174763;	41 0.142797 0.179562;	43 0.145587 0.175881;	42 0.147336 0.239842;	48 0.15365 0.180426;	
70000;	0.174763;	40 0.142797 0.179562;	43 0.145587 0.175881;	42 0.147336 0.239842;	44 0.152111 0.178455;	
72500;	0.174763;	40 0.142797 0.179562;	43 0.145587 0.175881;	42 0.147336 0.239842;	44 0.14763 0.202708;	
