x y z
-4.0 -4.0 -1.2820947222113926e-001
-4.0 -3.6 -1.6712390131406221e-001
-4.0 -3.2 -2.0921310784789968e-001
-4.0 -2.8 -2.5193245596989655e-001
-4.0 -2.4 -2.9248390965322918e-001
-4.0 -2.0 -3.2833999449559520e-001
-4.0 -1.6 -3.5771585159987601e-001
-4.0 -1.2 -3.7981954295191162e-001
-4.0 -0.8 -3.9477947054752044e-001
-4.0 -0.4 -4.0327261384356999e-001
-4.0 0.0 -4.0600584970983811e-001
-4.0 0.4 -4.0327261384356999e-001
-4.0 0.8 -3.9477947054752044e-001
-4.0 1.2 -3.7981954295191150e-001
-4.0 1.6 -3.5771585159987590e-001
-4.0 2.0 -3.2833999449559520e-001
-4.0 2.4 -2.9248390965322912e-001
-4.0 2.8 -2.5193245596989650e-001
-4.0 3.2 -2.0921310784789968e-001
-4.0 3.6 -1.6712390131406218e-001
-3.6 -4.0 -1.6712390131406221e-001
-3.6 -3.6 -2.1461814514244915e-001
-3.6 -3.2 -2.6411145627075466e-001
-3.6 -2.8 -3.1194902850020229e-001
-3.6 -2.4 -3.5448570868821438e-001
-3.6 -2.0 -3.8890247637711983e-001
-3.6 -1.6 -4.1386737535978441e-001
-3.6 -1.2 -4.2977710937612501e-001
-3.6 -0.8 -4.3844045772656320e-001
-3.6 -0.4 -4.4227449642323352e-001
-3.6 0.0 -4.4329308594729688e-001
-3.6 0.4 -4.4227449642323352e-001
-3.6 0.8 -4.3844045772656320e-001
-3.6 1.2 -4.2977710937612501e-001
-3.6 1.6 -4.1386737535978441e-001
-3.6 2.0 -3.8890247637711983e-001
-3.6 2.4 -3.5448570868821427e-001
-3.6 2.8 -3.1194902850020217e-001
-3.6 3.2 -2.6411145627075466e-001
-3.6 3.6 -2.1461814514244906e-001
-3.2 -4.0 -2.0921310784789968e-001
-3.2 -3.6 -2.6411145627075466e-001
-3.2 -3.2 -3.1849553062639491e-001
-3.2 -2.8 -3.6731370633677285e-001
-3.2 -2.4 -4.0600584970983816e-001
-3.2 -2.0 -4.3171365700760450e-001
-3.2 -1.6 -4.4417233958824187e-001
-3.2 -1.2 -4.4589364748113691e-001
-3.2 -0.8 -4.4145653636011611e-001
-3.2 -0.4 -4.3605086885442018e-001
-3.2 0.0 -4.3373818870698289e-001
-3.2 0.4 -4.3605086885442018e-001
-3.2 0.8 -4.4145653636011623e-001
