Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
2500;	15 0.205579 0.205891;	31 0.202327 0.205891;	29 0.203377 0.205891;	24 0.203408 0.20607;	15 0.205579 0.205891;	30 0.205681 0.353939;	47 0.205899 0.353939;	
5000;	38 0.203079 0.205562;	34 0.201692 0.205966;	28 0.201725 0.206061;	30 0.201731 0.205562;	29 0.202327 0.205891;	38 0.202337 0.205914;	45 0.202374 0.20602;	
7500;	42 0.197296 0.200625;	56 0.194269 0.207274;	44 0.197021 0.201975;	41 0.197021 0.201975;	41 0.19721 0.200826;	42 0.197296 0.200625;	43 0.197464 0.206061;	
10000;	50 0.155024 0.161003;	50 0.142075 0.209653;	61 0.148012 0.221216;	55 0.148063 0.221007;	52 0.148064 0.221007;	56 0.14938 0.224159;	53 0.151248 0.206703;	
12500;	50 0.155024 0.161003;	49 0.135379 0.205732;	51 0.136446 0.198061;	57 0.136485 0.197797;	46 0.136507 0.211445;	51 0.13666 0.196601;	47 0.13668 0.19646;	
15000;	50 0.155024 0.161003;	54 0.132528 0.200386;	50 0.133063 0.192315;	52 0.133063 0.192315;	52 0.133438 0.192809;	44 0.133532 0.196825;	56 0.133543 0.192292;	
17500;	56 0.153093 0.15634;	46 0.130759 0.208166;	47 0.130843 0.213557;	46 0.130844 0.213557;	48 0.131065 0.207087;	57 0.131162 0.210429;	55 0.131162 0.210429;	
20000;	53 0.145983 0.150247;	52 0.123279 0.187169;	48 0.124077 0.191911;	49 0.12578 0.194899;	45 0.125781 0.194692;	45 0.125829 0.191493;	50 0.12606 0.199028;	
22500;	53 0.145983 0.150247;	41 0.123277 0.187443;	35 0.123279 0.187169;	49 0.123522 0.1967;	53 0.123709 0.191758;	41 0.124075 0.192209;	33 0.124077 0.191911;	
25000;	48 0.142981 0.146525;	35 0.123277 0.187443;	28 0.123279 0.187169;	33 0.123522 0.1967;	33 0.123709 0.191758;	32 0.124075 0.192209;	28 0.124077 0.191911;	
27500;	37 0.142596 0.145167;	32 0.121945 0.19188;	31 0.123272 0.187304;	30 0.123277 0.187443;	24 0.123279 0.187169;	31 0.123402 0.196303;	30 0.123408 0.191591;	
