Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
2500;	48 0.194828 0.19505;	48 0.194828 0.19505;	46 0.197184 0.197659;	40 0.197886 0.21881;	39 0.197951 0.197127;	46 0.199684 0.201028;	42 0.199877 0.207988;	
5000;	53 0.189415 0.191887;	52 0.187106 0.192341;	53 0.189415 0.191887;	51 0.190551 0.193693;	56 0.193589 0.353939;	56 0.19379 0.207988;	61 0.19399 0.201028;	
7500;	63 0.177117 0.181692;	63 0.177117 0.181692;	68 0.177157 0.19505;	62 0.179731 0.353939;	64 0.180545 0.183992;	65 0.181192 0.189747;	62 0.181226 0.181792;	
10000;	63 0.176429 0.180518;	63 0.176429 0.180518;	63 0.177117 0.181692;	68 0.177157 0.19505;	69 0.177819 0.197127;	68 0.178086 0.201028;	63 0.178091 0.353939;	
12500;	63 0.176429 0.180518;	66 0.174077 0.181994;	64 0.174716 0.181994;	66 0.174818 0.180518;	64 0.175468 0.181656;	67 0.175589 0.183011;	67 0.175681 0.181994;	
15000;	67 0.173039 0.174171;	67 0.173039 0.174171;	65 0.174077 0.180518;	67 0.174163 0.189747;	66 0.174163 0.181994;	68 0.174566 0.182655;	64 0.174716 0.181994;	
17500;	69 0.165058 0.167566;	69 0.165058 0.167566;	70 0.165094 0.169009;	70 0.166593 0.169566;	68 0.166593 0.169566;	71 0.167393 0.174171;	64 0.167814 0.182655;	
20000;	72 0.162523 0.158802;	72 0.162523 0.158802;	70 0.164215 0.169391;	68 0.164215 0.167995;	68 0.165058 0.169009;	67 0.165058 0.167566;	70 0.165094 0.169009;	
22500;	73 0.143581 0.142695;	75 0.14263 0.142695;	73 0.143581 0.142695;	72 0.14694 0.15323;	73 0.152762 0.136712;	73 0.157503 0.169566;	74 0.159274 0.164352;	
25000;	76 0.118663 0.119652;	76 0.118663 0.119652;	77 0.126122 0.127446;	78 0.127475 0.169391;	77 0.128319 0.158802;	75 0.129438 0.129523;	75 0.129451 0.130678;	
27500;	79 0.105304 0.105938;	79 0.105304 0.105938;	76 0.108077 0.108773;	77 0.11211 0.164352;	76 0.118663 0.119652;	76 0.126017 0.139139;	77 0.126122 0.127446;	
30000;	78 0.10515 0.105708;	78 0.104542 0.105708;	78 0.104695 0.105938;	78 0.10515 0.105708;	79 0.105304 0.105938;	76 0.108077 0.108773;	79 0.109467 0.127446;	
32500;	79 0.10429 0.103518;	79 0.10429 0.103518;	78 0.104542 0.105708;	78 0.104658 0.105821;	78 0.10466 0.105887;	78 0.104695 0.105938;	78 0.10506 0.105135;	
35000;	79 0.10429 0.103518;	79 0.10429 0.103518;	76 0.104542 0.139139;	78 0.104658 0.105821;	78 0.10466 0.105887;	78 0.104695 0.105938;	78 0.10506 0.105135;	
37500;	79 0.103929 0.103229;	78 0.103417 0.103518;	79 0.103929 0.103229;	79 0.103995 0.103229;	79 0.10429 0.103518;	76 0.104542 0.139139;	78 0.104658 0.105821;	
40000;	79 0.103929 0.103229;	77 0.103021 0.103229;	77 0.103417 0.103518;	79 0.103929 0.103229;	79 0.103995 0.103229;	79 0.10429 0.103518;	79 0.104299 0.105821;	
42500;	78 0.101445 0.101276;	78 0.101445 0.101276;	79 0.102357 0.101276;	78 0.102382 0.101276;	78 0.102418 0.101276;	76 0.102949 0.103518;	77 0.103021 0.103229;	
45000;	78 0.0959758 0.0957589;	77 0.0959758 0.0957589;	78 0.101405 0.101276;	77 0.101445 0.101276;	79 0.102357 0.101276;	77 0.102382 0.103518;	78 0.102418 0.101276;	
47500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.0918565 0.101276;	79 0.0921882 0.0927933;	78 0.0922579 0.0929951;	80 0.0923391 0.103518;	79 0.0924695 0.101276;	
50000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.0918565 0.101276;	79 0.0921882 0.0927933;	78 0.0922579 0.0929951;	78 0.0923319 0.0957589;	80 0.0923391 0.103518;	
52500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.0918565 0.101276;	79 0.0921882 0.0927933;	78 0.0922579 0.0929951;	78 0.0923319 0.0957589;	78 0.0923391 0.0921565;	
55000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.0918565 0.101276;	79 0.0921882 0.0927933;	79 0.0922527 0.0921565;	78 0.0922579 0.0929951;	78 0.0922714 0.0921565;	
57500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	92 0.26738 1.#INF;	94 0.284804 1.#INF;	99 0.319394 0.0921565;	95 0.348842 0.0921565;	84 0.354127 1.#INF;	
60000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	82 0.189646 0.0921565;	80 0.194683 1.#INF;	97 0.200846 0.0921565;	93 0.201795 1.#INF;	94 0.201997 0.0921565;	
62500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	80 0.0922579 1.#INF;	77 0.110517 0.0921565;	79 0.126125 1.#INF;	80 0.136877 0.0921565;	78 0.146361 1.#INF;	
65000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	80 0.0922579 1.#INF;	80 0.102382 1.#INF;	78 0.1065 0.0921565;	77 0.110517 0.0921565;	81 0.114745 0.0921565;	
67500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	89 0.344054 1.#INF;	94 0.354097 1.#INF;	78 0.354127 1.#INF;	91 0.355502 1.#INF;	106 0.357515 0.0921565;	
70000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	102 0.202212 1.#INF;	89 0.202327 1.#INF;	82 0.208425 0.0921565;	88 0.208708 1.#INF;	84 0.209405 0.0921565;	
72500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	80 0.101445 1.#INF;	78 0.10597 1.#INF;	77 0.126125 1.#INF;	77 0.134197 1.#INF;	79 0.141737 1.#INF;	
75000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.0939998 1.#INF;	77 0.0952262 0.0921565;	78 0.101445 0.0921565;	82 0.104114 0.0921565;	79 0.104683 0.0921565;	
77500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	87 0.319121 0.0921565;	83 0.354127 1.#INF;	102 0.355013 1.#INF;	101 0.355843 0.0921565;	100 0.360295 1.#INF;	
80000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	81 0.173494 1.#INF;	83 0.196889 0.0921565;	81 0.202713 1.#INF;	79 0.203049 0.0921565;	82 0.203248 0.0921565;	
82500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	77 0.0952262 0.0921565;	78 0.12458 1.#INF;	80 0.126128 1.#INF;	78 0.131346 1.#INF;	79 0.15032 1.#INF;	
85000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	77 0.0952262 0.0921565;	77 0.101445 1.#INF;	79 0.118683 1.#INF;	79 0.120789 1.#INF;	78 0.12276 0.0921565;	
87500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	106 0.348381 1.#INF;	83 0.354127 0.0921565;	103 0.354146 1.#INF;	99 0.356167 1.#INF;	91 0.360291 1.#INF;	
90000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	92 0.173469 1.#INF;	86 0.184734 1.#INF;	88 0.202067 0.0921565;	88 0.202161 1.#INF;	91 0.205028 0.0921565;	
92500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	79 0.10215 1.#INF;	79 0.125811 1.#INF;	78 0.126125 0.0921565;	79 0.131537 0.0921565;	82 0.144519 1.#INF;	
95000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	80 0.0952262 0.0921565;	79 0.095467 1.#INF;	79 0.10215 1.#INF;	79 0.1065 1.#INF;	77 0.110517 1.#INF;	
97500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	91 0.310396 1.#INF;	82 0.354127 0.0921565;	91 0.366755 1.#INF;	87 0.368661 0.0921565;	102 0.374628 1.#INF;	
100000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	83 0.199517 0.0921565;	107 0.203025 1.#INF;	108 0.203821 0.0921565;	106 0.206282 1.#INF;	78 0.209837 1.#INF;	
102500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	80 0.102945 0.0921565;	77 0.107573 0.0921565;	81 0.120563 0.0921565;	78 0.144153 1.#INF;	76 0.148197 0.0921565;	
105000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	77 0.0952262 0.0921565;	80 0.102945 0.0921565;	78 0.10597 0.0921565;	77 0.107573 0.0921565;	81 0.108437 0.0921565;	
107500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	83 0.354127 1.#INF;	97 0.357013 1.#INF;	105 0.393447 1.#INF;	98 0.408059 0.0921565;	102 0.444075 0.0921565;	
110000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	92 0.203377 0.0921565;	81 0.206164 1.#INF;	102 0.206887 1.#INF;	92 0.207707 1.#INF;	90 0.207924 0.0921565;	
112500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.10597 1.#INF;	78 0.134657 1.#INF;	83 0.149291 1.#INF;	79 0.152865 0.0921565;	78 0.165538 0.0921565;	
115000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	80 0.101445 1.#INF;	81 0.103099 0.0921565;	78 0.10597 1.#INF;	82 0.112306 0.0921565;	78 0.114122 1.#INF;	
117500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	97 0.350618 1.#INF;	93 0.352748 1.#INF;	102 0.353679 1.#INF;	99 0.353827 0.0921565;	85 0.354127 1.#INF;	
120000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	82 0.18221 1.#INF;	105 0.195589 1.#INF;	81 0.199488 0.0921565;	104 0.200884 1.#INF;	97 0.201559 1.#INF;	
122500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.109133 1.#INF;	79 0.110846 1.#INF;	81 0.117093 1.#INF;	81 0.14034 0.0921565;	81 0.162932 1.#INF;	
125000;	77 0.0916439 0.0921565;	76 0.0916439 0.0921565;	77 0.0930077 0.0921565;	77 0.10044 1.#INF;	76 0.101445 1.#INF;	80 0.10471 1.#INF;	76 0.108299 0.0921565;	
127500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	88 0.341408 0.0921565;	101 0.345946 1.#INF;	98 0.349868 0.0921565;	80 0.354127 1.#INF;	98 0.402045 1.#INF;	
130000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	87 0.19558 1.#INF;	91 0.207496 1.#INF;	87 0.207978 0.0921565;	89 0.212391 0.0921565;	91 0.214749 1.#INF;	
132500;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.105536 1.#INF;	79 0.123788 1.#INF;	79 0.126125 1.#INF;	77 0.131537 0.0921565;	79 0.137221 1.#INF;	
135000;	77 0.0916439 0.0921565;	77 0.0916439 0.0921565;	78 0.0922579 0.0921565;	79 0.0952262 0.0921565;	80 0.0996899 1.#INF;	78 0.105536 1.#INF;	79 0.10597 0.0921565;	
137500;	78 0.0890502 0.0897393;	78 0.0890502 0.0897393;	79 0.0908377 0.0913563;	81 0.0914945 1.#INF;	77 0.0916439 0.0921565;	78 0.0922579 0.0921565;	79 0.0952262 0.0921565;	
