Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
2500;	29 0.201982 0.205462;	29 0.201759 0.205535;	29 0.201982 0.205462;	40 0.202457 0.353939;	28 0.203128 0.353939;	23 0.203143 0.229777;	33 0.203508 0.211596;	
5000;	40 0.199882 0.201687;	32 0.198214 0.203637;	40 0.199882 0.201687;	33 0.199993 0.203002;	32 0.200483 0.205535;	34 0.200606 0.203954;	38 0.200764 0.205455;	
7500;	40 0.199882 0.201687;	37 0.197185 0.201829;	31 0.197541 0.202495;	30 0.198214 0.203637;	32 0.198254 0.202658;	40 0.198374 0.202735;	34 0.198416 0.203086;	
10000;	50 0.156873 0.182861;	50 0.156873 0.182861;	51 0.157913 0.201349;	45 0.161789 0.228698;	47 0.167869 0.201829;	49 0.172862 0.246935;	48 0.177605 0.228489;	
12500;	53 0.154298 0.170342;	53 0.151809 0.209235;	50 0.151977 0.211862;	53 0.152922 0.207719;	52 0.153596 0.172369;	54 0.154116 0.172072;	53 0.154298 0.170342;	
15000;	53 0.154298 0.170342;	57 0.148304 0.204556;	50 0.150481 0.215586;	55 0.150731 0.211867;	52 0.150927 0.207735;	54 0.151105 0.244028;	52 0.151242 0.206567;	
17500;	55 0.149326 0.168219;	56 0.139087 0.238151;	55 0.141341 0.20453;	62 0.145992 0.201987;	58 0.146061 0.201678;	53 0.146674 0.211998;	56 0.146764 0.213913;	
20000;	55 0.149326 0.168219;	58 0.136628 0.225524;	55 0.137431 0.220023;	62 0.137689 0.22889;	56 0.138067 0.231299;	59 0.138493 0.234747;	54 0.138937 0.234613;	
22500;	55 0.149326 0.168219;	55 0.136239 0.231002;	52 0.136628 0.225524;	56 0.136628 0.208388;	56 0.136653 0.208448;	54 0.136653 0.225822;	52 0.136742 0.226398;	
25000;	53 0.135846 0.165386;	61 0.128947 0.192601;	61 0.128947 0.192602;	56 0.129035 0.19589;	61 0.129253 0.188926;	59 0.129612 0.18827;	57 0.129618 0.190013;	
27500;	62 0.131003 0.154014;	58 0.128084 0.192175;	59 0.128195 0.195339;	55 0.128812 0.193162;	56 0.128812 0.193163;	52 0.128923 0.196326;	61 0.128935 0.185712;	
30000;	62 0.131003 0.154014;	56 0.124817 0.170194;	60 0.124986 0.170813;	57 0.125082 0.172029;	54 0.125104 0.177408;	58 0.125267 0.179449;	54 0.125381 0.170194;	
32500;	60 0.125573 0.12115;	53 0.123817 0.174131;	57 0.12391 0.174575;	54 0.12394 0.174063;	55 0.123953 0.174497;	54 0.124458 0.17831;	53 0.124572 0.181097;	
35000;	60 0.125573 0.12115;	52 0.123817 0.174131;	53 0.12391 0.174575;	52 0.12394 0.174063;	53 0.123953 0.174497;	58 0.124017 0.174938;	57 0.124045 0.174424;	
37500;	60 0.125573 0.12115;	51 0.123817 0.174131;	53 0.12391 0.174575;	52 0.12394 0.174063;	52 0.123953 0.174497;	55 0.124017 0.174938;	53 0.124045 0.174424;	
40000;	60 0.125573 0.12115;	51 0.123817 0.174131;	53 0.12391 0.174575;	52 0.12394 0.174063;	52 0.123953 0.174497;	54 0.124017 0.174938;	53 0.124045 0.174424;	
42500;	60 0.125573 0.12115;	51 0.123817 0.174131;	53 0.12391 0.174575;	52 0.12394 0.174063;	52 0.123953 0.174497;	54 0.124017 0.174938;	53 0.124045 0.174424;	
45000;	60 0.125573 0.12115;	50 0.123817 0.174131;	52 0.12391 0.174575;	51 0.12394 0.174063;	51 0.123953 0.174497;	54 0.124017 0.174938;	53 0.124045 0.174424;	
47500;	60 0.125573 0.12115;	50 0.123817 0.174131;	52 0.12391 0.174575;	51 0.12394 0.174063;	51 0.123953 0.174497;	54 0.124017 0.174938;	52 0.124045 0.174424;	
50000;	60 0.125573 0.12115;	53 0.123577 0.172918;	52 0.123604 0.174267;	56 0.123668 0.173229;	49 0.123817 0.174131;	51 0.123823 0.173003;	52 0.123903 0.172003;	
52500;	60 0.125573 0.12115;	60 0.125573 0.12115;	97 0.195749 1.#INF;	99 0.198776 1.#INF;	100 0.200518 1.#INF;	101 0.205589 1.#INF;	96 0.207132 0.172918;	
55000;	60 0.125573 0.12115;	60 0.125573 0.12115;	65 0.147586 0.172003;	63 0.151893 1.#INF;	63 0.174898 0.172918;	62 0.17554 1.#INF;	60 0.180013 1.#INF;	
57500;	60 0.125573 0.12115;	60 0.118667 0.132613;	60 0.125573 0.12115;	60 0.125765 1.#INF;	60 0.130239 0.172003;	61 0.134617 1.#INF;	62 0.136632 0.12115;	
60000;	62 0.123373 0.11703;	60 0.118667 0.132613;	61 0.118745 0.1322;	62 0.1202 0.134289;	63 0.120272 0.13387;	64 0.12132 0.124739;	64 0.121813 0.136073;	
62500;	62 0.123373 0.11703;	60 0.118667 0.132613;	60 0.118745 0.1322;	60 0.119029 0.132553;	59 0.119278 0.140497;	61 0.119357 0.140083;	63 0.120149 0.138049;	
65000;	62 0.123373 0.11703;	61 0.118485 0.138372;	60 0.118551 0.137139;	59 0.11861 0.133153;	60 0.118628 0.13678;	59 0.118667 0.132613;	61 0.118707 0.132766;	
67500;	61 0.119966 0.118561;	60 0.118255 0.149345;	61 0.118317 0.148276;	60 0.11837 0.150763;	61 0.118426 0.148534;	60 0.118485 0.138372;	59 0.118492 0.137597;	
70000;	60 0.119919 0.119566;	59 0.117804 0.137903;	60 0.11788 0.137497;	59 0.118107 0.149117;	59 0.118255 0.149345;	60 0.118317 0.148276;	60 0.118328 0.149974;	
72500;	60 0.119919 0.119566;	59 0.117804 0.137903;	60 0.11788 0.137497;	58 0.118107 0.149117;	58 0.118255 0.149345;	59 0.118317 0.148276;	59 0.118328 0.149974;	
75000;	60 0.119919 0.119566;	59 0.117804 0.137903;	60 0.11788 0.137497;	60 0.117888 0.138006;	58 0.118107 0.149117;	58 0.118255 0.149345;	59 0.118317 0.148276;	
77500;	60 0.119919 0.119566;	59 0.116625 0.130746;	59 0.117269 0.136426;	59 0.117526 0.135627;	60 0.11753 0.137675;	60 0.11772 0.137264;	58 0.117804 0.137903;	
80000;	60 0.119919 0.119566;	62 0.111258 0.147433;	63 0.111292 0.148378;	63 0.111324 0.155231;	62 0.111532 0.138438;	62 0.111583 0.139457;	61 0.11162 0.145032;	
82500;	63 0.11946 0.119278;	62 0.110942 0.156889;	62 0.111071 0.148663;	63 0.111095 0.149482;	62 0.111141 0.148049;	62 0.111258 0.147433;	62 0.111278 0.159046;	
85000;	63 0.11946 0.119278;	62 0.110942 0.156889;	62 0.111071 0.148663;	63 0.111095 0.149482;	62 0.111141 0.148049;	62 0.111258 0.147433;	62 0.111278 0.159046;	
87500;	63 0.11946 0.119278;	62 0.110942 0.156889;	62 0.111071 0.148663;	63 0.111095 0.149482;	62 0.111141 0.148049;	62 0.111258 0.147433;	61 0.111278 0.159046;	
90000;	63 0.11946 0.119278;	62 0.108904 0.154796;	63 0.109055 0.152096;	63 0.109123 0.148035;	62 0.109234 0.157102;	64 0.109278 0.145515;	62 0.109284 0.156797;	
92500;	63 0.11946 0.119278;	62 0.108904 0.154796;	63 0.109055 0.152096;	63 0.109123 0.148035;	62 0.109234 0.157102;	64 0.109278 0.145515;	62 0.109284 0.156797;	
95000;	63 0.11946 0.119278;	62 0.108904 0.154796;	63 0.109055 0.152096;	63 0.109123 0.148035;	62 0.109234 0.157102;	64 0.109278 0.145515;	62 0.109284 0.156797;	
97500;	63 0.11946 0.119278;	61 0.108904 0.154796;	63 0.109055 0.152096;	63 0.109123 0.148035;	61 0.109234 0.157102;	64 0.109278 0.145515;	61 0.109284 0.156797;	
100000;	63 0.11946 0.119278;	60 0.108904 0.154796;	62 0.109055 0.152096;	62 0.109123 0.148035;	60 0.109234 0.157102;	63 0.109278 0.145515;	60 0.109284 0.156797;	
102500;	63 0.11946 0.119278;	63 0.11946 0.119278;	88 0.293057 0.152096;	93 0.352479 1.#INF;	92 0.353245 1.#INF;	74 0.354127 1.#INF;	89 0.35423 1.#INF;	
105000;	63 0.11946 0.119278;	63 0.11946 0.119278;	66 0.161518 1.#INF;	67 0.189946 0.157102;	68 0.199374 0.154796;	63 0.203027 0.145515;	78 0.203443 1.#INF;	
107500;	63 0.11946 0.119278;	63 0.11946 0.119278;	63 0.138056 1.#INF;	66 0.154398 0.119278;	66 0.161518 1.#INF;	65 0.165456 0.154796;	72 0.172192 0.145515;	
110000;	63 0.11946 0.119278;	63 0.113219 0.134146;	62 0.114388 0.131226;	64 0.116696 0.149685;	63 0.118295 0.120841;	64 0.119302 0.122204;	63 0.11946 0.119278;	
112500;	63 0.11946 0.119278;	63 0.111071 0.148663;	64 0.113114 0.15077;	61 0.113219 0.134146;	63 0.113386 0.14958;	63 0.114282 0.135909;	61 0.114388 0.131226;	
115000;	63 0.11946 0.119278;	61 0.111071 0.148663;	62 0.111095 0.149482;	62 0.111141 0.148049;	61 0.111258 0.147433;	63 0.111317 0.146755;	64 0.111355 0.146401;	
