Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
2500;	44 0.174523 0.149844;	34 0.164611 0.208846;	33 0.166435 0.17779;	37 0.167168 0.187142;	42 0.172818 0.180719;	32 0.172827 0.204608;	44 0.174523 0.149844;	
5000;	40 0.138768 0.133276;	34 0.138295 0.13879;	37 0.138768 0.133276;	43 0.138898 0.13879;	38 0.141335 0.204608;	43 0.142131 0.180551;	43 0.142777 0.187142;	
7500;	35 0.134626 0.131033;	35 0.134626 0.131033;	28 0.13527 0.160404;	45 0.136907 0.131762;	37 0.13692 0.132242;	38 0.136983 0.160404;	39 0.137305 0.160404;	
10000;	35 0.121935 0.131009;	40 0.117891 0.139551;	41 0.118134 0.141526;	32 0.121935 0.131009;	41 0.122459 0.160404;	38 0.123316 0.131009;	34 0.123804 0.139551;	
12500;	49 0.114424 0.128935;	45 0.11432 0.132919;	49 0.114424 0.128935;	45 0.116064 0.136848;	46 0.116067 0.136891;	43 0.116325 0.129304;	41 0.116437 0.139551;	
15000;	49 0.11432 0.126176;	38 0.113729 0.129099;	45 0.114015 0.133555;	53 0.114136 0.136513;	48 0.114229 0.132706;	47 0.114278 0.133448;	43 0.114315 0.133336;	
17500;	49 0.11432 0.126176;	42 0.113498 0.131261;	41 0.113506 0.128121;	44 0.113508 0.138482;	41 0.113514 0.128103;	49 0.113529 0.130752;	50 0.113547 0.131454;	
20000;	50 0.111977 0.0934753;	45 0.111153 0.129613;	49 0.11136 0.129864;	48 0.111422 0.12953;	50 0.111977 0.0934753;	55 0.112007 0.0979189;	47 0.112042 0.0979238;	
22500;	48 0.111361 0.107493;	45 0.110036 0.131434;	51 0.110036 0.129599;	57 0.110037 0.129613;	54 0.11016 0.131069;	51 0.110161 0.12992;	50 0.110182 0.129933;	
25000;	48 0.111361 0.107493;	56 0.105879 0.114437;	61 0.106259 0.113292;	56 0.107004 0.120883;	55 0.107052 0.120925;	54 0.107149 0.119315;	57 0.107486 0.121043;	
27500;	48 0.111361 0.107493;	54 0.101013 0.119248;	57 0.101525 0.127859;	58 0.101559 0.127927;	57 0.101986 0.11797;	56 0.102381 0.112568;	59 0.102489 0.12681;	
30000;	57 0.101585 0.0976271;	49 0.100952 0.11951;	58 0.100952 0.119508;	54 0.100952 0.1195;	60 0.100953 0.119499;	54 0.100988 0.119573;	57 0.100988 0.119571;	
32500;	57 0.101585 0.0976271;	47 0.100952 0.11951;	48 0.100952 0.119508;	47 0.100952 0.1195;	47 0.100953 0.119499;	47 0.100988 0.119573;	47 0.100988 0.119571;	
