x	y	z	x	y	z	d
0.152785805	0.427258961	0.002424948	0.43252944	0.718459759	0.139401245	0.426399944
0.630967364	0.126226232	0.777897781	0.670212543	0.808426513	0.537933784	0.724237618
0.583404416	0.451877455	0.024502037	0.274953072	0.348916986	0.334965947	0.449589734
0.906261722	0.222066362	0.977604438	0.252746239	0.668579558	0.20057654	1.109156831
0.258581134	0.583596207	0.671599771	0.427711241	0.08133558	0.110458737	0.771848424
0.888588899	0.917293428	0.45492375	0.147476807	0.029212619	0.203850412	1.183626832
0.134622424	0.90030518	0.075741161	0.626139872	0.864593005	0.46077109	0.625390125
0.248517247	0.642294327	0.6986523	0.613415013	0.793173271	0.339151964	0.53399937
0.132762828	0.588467787	0.256891318	0.360909764	0.890876643	0.212993216	0.381351785
0.97011899	0.132095039	0.74404146	0.201903812	0.210611631	0.448581738	0.826810656
0.655381915	0.852917942	0.904640831	0.255597748	0.820278656	0.834384284	0.407220685
0.754271944	0.485277483	0.717513594	0.008782246	0.852148642	0.557438603	0.846152079
0.035899282	0.272356327	0.716882163	0.84156565	0.948392945	0.062299483	1.238790656
0.758250958	0.108587963	0.118171638	0.168838741	0.091583099	0.149768979	0.590503445
0.7431541	0.247610117	0.145924445	0.108230709	0.60978186	0.606453374	0.863934592
0.903862489	0.631197563	0.090607781	0.547866393	0.077207383	0.79009523	0.960687791
0.565143404	0.636475567	0.976014316	0.219484	0.649147506	0.240511461	0.812776385
0.57771886	0.280799978	0.808728448	0.731215341	0.674256247	0.4609261	0.547115599
0.393408133	0.61643237	0.552828023	0.835721144	0.119486925	0.356042265	0.693772449
0.236511305	0.571337673	0.60153097	0.423662517	0.07712073	0.043634433	0.768455925
0.885151796	0.851857801	0.286246501	0.740090092	0.049547742	0.783827799	0.955160446
0.602947847	0.399279323	0.001799794	0.576369885	0.257698858	0.90180402	0.91145983
0.165500505	0.75602415	0.123883662	0.695691622	0.710591355	0.749464898	0.821290839
0.36502398	0.588621036	0.620681886	0.060980738	0.347214388	0.165204347	0.598480785
0.215806176	0.068161827	0.522862146	0.641075846	0.883137264	0.24728786	0.959677259
0.385031742	0.196541331	0.415453357	0.333216815	0.9496216	0.82730903	0.85990684
0.617436716	0.447780064	0.651282622	0.935877125	0.45705732	0.324770896	0.456180084
0.425937112	0.468997153	0.577433765	0.598416735	0.909428951	0.638491129	0.476924932
0.18494047	0.284212253	0.987101178	0.401697296	0.135278985	0.265256707	0.768260425
0.827454763	0.989668336	0.976345298	0.61044757	0.451669013	0.869698177	0.589838114
0.660911802	0.799829827	0.103998107	0.091920096	0.220219278	0.722722669	1.021038703
0.711695908	0.018980864	0.423362605	0.324469326	0.457993625	0.952142416	0.788850251
0.966587564	0.22864472	0.86175667	0.668880292	0.348537766	0.561166388	0.43972546
0.069419452	0.688141006	0.834116596	0.727319361	0.530846315	0.893390578	0.679034104
0.687331018	0.377003849	0.518068726	0.071542039	0.638067219	0.75946979	0.711072867
0.187099848	0.69149301	0.523730489	0.826076113	0.177718742	0.941381671	0.920156061
0.731821621	0.536175826	0.912660173	0.212849928	0.039610957	0.709179447	0.746533786
0.725513208	0.273674522	0.785784014	0.923373859	0.20811608	0.177539178	0.642968528
0.538513327	0.399221061	0.066078354	0.513219848	0.884412269	0.511714102	0.659273455
0.047758164	0.492196185	0.125340372	0.237555553	0.82075852	0.876282841	0.841362495
0.959880448	0.570159884	0.347402919	0.464007356	0.915924765	0.71335563	0.706657528
0.659087392	0.937978039	0.066308165	0.596580132	0.451116682	0.020485262	0.492991762
0.448179267	0.086473149	0.507047863	0.323785331	0.495816844	0.910426859	0.58800572
0.636788245	0.840624489	0.677338036	0.802162322	0.091533592	0.938530263	0.810374689
0.1286502	0.363077188	0.009069113	0.312311422	0.388126333	0.748949398	0.762746183
0.469545752	0.991874022	0.178225512	0.110591556	0.0089758	0.460879858	1.083895987
0.126393118	0.578506726	0.393996805	0.549520736	0.547478667	0.824102421	0.604144488
0.106653135	0.287624285	0.972662242	0.660951638	0.713359546	0.092347969	1.124033168
0.585364278	0.162468938	0.428310029	0.363708628	0.342626609	0.409004961	0.28628779
0.296412111	0.42585046	0.601746273	0.032948656	0.059227585	0.18308003	0.615716451
0.425727732	0.060866237	0.402363708	0.16195414	0.122493942	0.478476825	0.281367532
0.106752928	0.396372161	0.738062617	0.315398654	0.205555222	0.353739361	0.477125255
0.800816131	0.028343252	0.436013786	0.563780243	0.764394965	0.516589297	0.777464179
0.32416149	0.75115318	0.834865653	0.560238116	0.643755549	0.063419802	0.813876603
0.225193824	0.206972051	0.903587905	0.737384609	0.162240552	0.82366325	0.520315536
0.52813973	0.960544941	0.66751317	0.239377982	0.440668542	0.583813294	0.600550154
0.92718494	0.03496089	0.416397534	0.209563721	0.277741578	0.20895863	0.785463924
0.617956545	0.817100267	0.241167403	0.165856037	0.715503913	0.029774577	0.509316812
0.111232044	0.91241922	0.073056457	0.518290004	0.045748642	0.903525521	1.267475026
0.225012504	0.024676168	0.558982717	0.759900758	0.957257097	0.253984884	1.11751345
0.165531304	0.385957243	0.313706607	0.936327494	0.29852953	0.687563251	0.861126681
0.748819287	0.783264431	0.626439829	0.923190125	0.825268008	0.426888228	0.26831014
0.229781197	0.1480558	0.576971905	0.792252808	0.462437919	0.407419112	0.666302168
