x	y	z
-0.9	-0.9	1.6742
-0.9	-0.7	1.5242
-0.9	-0.5	1.5246
-0.9	-0.3	1.6082
-0.9	-0.1	1.7462
-0.9	0.1	1.9482
-0.9	0.3	2.2622
-0.9	0.5	2.7746
-0.9	0.7	3.6102
-0.9	0.9	4.9322
-0.9	0.95	5.36148125
-0.7	-0.9	1.5242
-0.7	-0.7	1.3742
-0.7	-0.5	1.3746
-0.7	-0.3	1.4582
-0.7	-0.1	1.5962
-0.7	0.1	1.7982
-0.7	0.3	2.1122
-0.7	0.5	2.6246
-0.7	0.7	3.4602
-0.7	0.9	4.7822
-0.7	0.95	5.21148125
-0.5	-0.9	1.5246
-0.5	-0.7	1.3746
-0.5	-0.5	1.375
-0.5	-0.3	1.4586
-0.5	-0.1	1.5966
-0.5	0.1	1.7986
-0.5	0.3	2.1126
-0.5	0.5	2.625
-0.5	0.7	3.4606
-0.5	0.9	4.7826
-0.5	0.95	5.21188125
-0.3	-0.9	1.6082
-0.3	-0.7	1.4582
-0.3	-0.5	1.4586
-0.3	-0.3	1.5422
-0.3	-0.1	1.6802
-0.3	0.1	1.8822
-0.3	0.3	2.1962
-0.3	0.5	2.7086
-0.3	0.7	3.5442
-0.3	0.9	4.8662
-0.3	0.95	5.29548125
-0.1	-0.9	1.7462
-0.1	-0.7	1.5962
-0.1	-0.5	1.5966
-0.1	-0.3	1.6802
-0.1	-0.1	1.8182
-0.1	0.1	2.0202
-0.1	0.3	2.3342
-0.1	0.5	2.8466
-0.1	0.7	3.6822
-0.1	0.9	5.0042
-0.1	0.95	5.43348125
0.1	-0.9	1.9482
0.1	-0.7	1.7982
0.1	-0.5	1.7986
0.1	-0.3	1.8822
0.1	-0.1	2.0202
0.1	0.1	2.2222
0.1	0.3	2.5362
0.1	0.5	3.0486
0.1	0.7	3.8842
0.1	0.9	5.2062
0.1	0.95	5.63548125
0.3	-0.9	2.2622
0.3	-0.7	2.1122
0.3	-0.5	2.1126
0.3	-0.3	2.1962
0.3	-0.1	2.3342
0.3	0.1	2.5362
0.3	0.3	2.8502
0.3	0.5	3.3626
0.3	0.7	4.1982
0.3	0.9	5.5202
0.3	0.95	5.94948125
0.5	-0.9	2.7746
0.5	-0.7	2.6246
0.5	-0.5	2.625
0.5	-0.3	2.7086
0.5	-0.1	2.8466
0.5	0.1	3.0486
0.5	0.3	3.3626
0.5	0.5	3.875
0.5	0.7	4.7106
0.5	0.9	6.0326
0.5	0.95	6.46188125
0.7	-0.9	3.6102
0.7	-0.7	3.4602
0.7	-0.5	3.4606
0.7	-0.3	3.5442
0.7	-0.1	3.6822
0.7	0.1	3.8842
0.7	0.3	4.1982
0.7	0.5	4.7106
0.7	0.7	5.5462
0.7	0.9	6.8682
0.7	0.95	7.29748125
0.9	-0.9	4.9322
0.9	-0.7	4.7822
0.9	-0.5	4.7826
0.9	-0.3	4.8662
0.9	-0.1	5.0042
0.9	0.1	5.2062
0.9	0.3	5.5202
0.9	0.5	6.0326
0.9	0.7	6.8682
0.9	0.9	8.1902
0.9	0.95	8.61948125
0.95	-0.9	5.36148125
0.95	-0.7	5.21148125
0.95	-0.5	5.21188125
0.95	-0.3	5.29548125
0.95	-0.1	5.43348125
0.95	0.1	5.63548125
0.95	0.3	5.94948125
0.95	0.5	6.46188125
0.95	0.7	7.29748125
0.95	0.9	8.61948125
0.95	0.95	9.0487625
