x	y	z
-1	-1	3
-1	-0.8	2.7376
-1	-0.6	2.6736
-1	-0.4	2.7216
-1	-0.2	2.8336
-1	0	3
-1	0.2	3.2496
-1	0.4	3.6496
-1	0.6	4.3056
-1	0.8	5.3616
-1	1	7
-0.8	-1	2.7376
-0.8	-0.8	2.4752
-0.8	-0.6	2.4112
-0.8	-0.4	2.4592
-0.8	-0.2	2.5712
-0.8	0	2.7376
-0.8	0.2	2.9872
-0.8	0.4	3.3872
-0.8	0.6	4.0432
-0.8	0.8	5.0992
-0.8	1	6.7376
-0.6	-1	2.6736
-0.6	-0.8	2.4112
-0.6	-0.6	2.3472
-0.6	-0.4	2.3952
-0.6	-0.2	2.5072
-0.6	0	2.6736
-0.6	0.2	2.9232
-0.6	0.4	3.3232
-0.6	0.6	3.9792
-0.6	0.8	5.0352
-0.6	1	6.6736
-0.4	-1	2.7216
-0.4	-0.8	2.4592
-0.4	-0.6	2.3952
-0.4	-0.4	2.4432
-0.4	-0.2	2.5552
-0.4	0	2.7216
-0.4	0.2	2.9712
-0.4	0.4	3.3712
-0.4	0.6	4.0272
-0.4	0.8	5.0832
-0.4	1	6.7216
-0.2	-1	2.8336
-0.2	-0.8	2.5712
-0.2	-0.6	2.5072
-0.2	-0.4	2.5552
-0.2	-0.2	2.6672
-0.2	0	2.8336
-0.2	0.2	3.0832
-0.2	0.4	3.4832
-0.2	0.6	4.1392
-0.2	0.8	5.1952
-0.2	1	6.8336
0	-1	3
0	-0.8	2.7376
0	-0.6	2.6736
0	-0.4	2.7216
0	-0.2	2.8336
0	0	3
0	0.2	3.2496
0	0.4	3.6496
0	0.6	4.3056
0	0.8	5.3616
0	1	7
0.2	-1	3.2496
0.2	-0.8	2.9872
0.2	-0.6	2.9232
0.2	-0.4	2.9712
0.2	-0.2	3.0832
0.2	0	3.2496
0.2	0.2	3.4992
0.2	0.4	3.8992
0.2	0.6	4.5552
0.2	0.8	5.6112
0.2	1	7.2496
0.4	-1	3.6496
0.4	-0.8	3.3872
0.4	-0.6	3.3232
0.4	-0.4	3.3712
0.4	-0.2	3.4832
0.4	0	3.6496
0.4	0.2	3.8992
0.4	0.4	4.2992
0.4	0.6	4.9552
0.4	0.8	6.0112
0.4	1	7.6496
0.6	-1	4.3056
0.6	-0.8	4.0432
0.6	-0.6	3.9792
0.6	-0.4	4.0272
0.6	-0.2	4.1392
0.6	0	4.3056
0.6	0.2	4.5552
0.6	0.4	4.9552
0.6	0.6	5.6112
0.6	0.8	6.6672
0.6	1	8.3056
0.8	-1	5.3616
0.8	-0.8	5.0992
0.8	-0.6	5.0352
0.8	-0.4	5.0832
0.8	-0.2	5.1952
0.8	0	5.3616
0.8	0.2	5.6112
0.8	0.4	6.0112
0.8	0.6	6.6672
0.8	0.8	7.7232
0.8	1	9.3616
1	-1	7
1	-0.8	6.7376
1	-0.6	6.6736
1	-0.4	6.7216
1	-0.2	6.8336
1	0	7
1	0.2	7.2496
1	0.4	7.6496
1	0.6	8.3056
1	0.8	9.3616
1	1	11
