x	y	z
-0.9	-0.9	2.6742
-0.9	-0.7	2.5242
-0.9	-0.5	2.5246
-0.9	-0.3	2.6082
-0.9	-0.1	2.7462
-0.9	0.1	2.9482
-0.9	0.3	3.2622
-0.9	0.5	3.7746
-0.9	0.7	4.6102
-0.9	0.9	5.9322
-0.9	0.95	6.36148125
-0.7	-0.9	2.5242
-0.7	-0.7	2.3742
-0.7	-0.5	2.3746
-0.7	-0.3	2.4582
-0.7	-0.1	2.5962
-0.7	0.1	2.7982
-0.7	0.3	3.1122
-0.7	0.5	3.6246
-0.7	0.7	4.4602
-0.7	0.9	5.7822
-0.7	0.95	6.21148125
-0.5	-0.9	2.5246
-0.5	-0.7	2.3746
-0.5	-0.5	2.375
-0.5	-0.3	2.4586
-0.5	-0.1	2.5966
-0.5	0.1	2.7986
-0.5	0.3	3.1126
-0.5	0.5	3.625
-0.5	0.7	4.4606
-0.5	0.9	5.7826
-0.5	0.95	6.21188125
-0.3	-0.9	2.6082
-0.3	-0.7	2.4582
-0.3	-0.5	2.4586
-0.3	-0.3	2.5422
-0.3	-0.1	2.6802
-0.3	0.1	2.8822
-0.3	0.3	3.1962
-0.3	0.5	3.7086
-0.3	0.7	4.5442
-0.3	0.9	5.8662
-0.3	0.95	6.29548125
-0.1	-0.9	2.7462
-0.1	-0.7	2.5962
-0.1	-0.5	2.5966
-0.1	-0.3	2.6802
-0.1	-0.1	2.8182
-0.1	0.1	3.0202
-0.1	0.3	3.3342
-0.1	0.5	3.8466
-0.1	0.7	4.6822
-0.1	0.9	6.0042
-0.1	0.95	6.43348125
0.1	-0.9	2.9482
0.1	-0.7	2.7982
0.1	-0.5	2.7986
0.1	-0.3	2.8822
0.1	-0.1	3.0202
0.1	0.1	3.2222
0.1	0.3	3.5362
0.1	0.5	4.0486
0.1	0.7	4.8842
0.1	0.9	6.2062
0.1	0.95	6.63548125
0.3	-0.9	3.2622
0.3	-0.7	3.1122
0.3	-0.5	3.1126
0.3	-0.3	3.1962
0.3	-0.1	3.3342
0.3	0.1	3.5362
0.3	0.3	3.8502
0.3	0.5	4.3626
0.3	0.7	5.1982
0.3	0.9	6.5202
0.3	0.95	6.94948125
0.5	-0.9	3.7746
0.5	-0.7	3.6246
0.5	-0.5	3.625
0.5	-0.3	3.7086
0.5	-0.1	3.8466
0.5	0.1	4.0486
0.5	0.3	4.3626
0.5	0.5	4.875
0.5	0.7	5.7106
0.5	0.9	7.0326
0.5	0.95	7.46188125
0.7	-0.9	4.6102
0.7	-0.7	4.4602
0.7	-0.5	4.4606
0.7	-0.3	4.5442
0.7	-0.1	4.6822
0.7	0.1	4.8842
0.7	0.3	5.1982
0.7	0.5	5.7106
0.7	0.7	6.5462
0.7	0.9	7.8682
0.7	0.95	8.29748125
0.9	-0.9	5.9322
0.9	-0.7	5.7822
0.9	-0.5	5.7826
0.9	-0.3	5.8662
0.9	-0.1	6.0042
0.9	0.1	6.2062
0.9	0.3	6.5202
0.9	0.5	7.0326
0.9	0.7	7.8682
0.9	0.9	9.1902
0.9	0.95	9.61948125
0.95	-0.9	6.36148125
0.95	-0.7	6.21148125
0.95	-0.5	6.21188125
0.95	-0.3	6.29548125
0.95	-0.1	6.43348125
0.95	0.1	6.63548125
0.95	0.3	6.94948125
0.95	0.5	7.46188125
0.95	0.7	8.29748125
0.95	0.9	9.61948125
0.95	0.95	10.0487625
